countries,GDP
United States,"20,807,269"
China,"14,860,775"
Japan,"4,910,580"
Germany,"3,780,553"
United Kingdom,"2,638,296"
India,"2,592,583"
France,"2,551,451"
Italy,"1,848,222"
Canada,"1,600,264"
South Korea,"1,586,786"
Russia,"1,464,078"
Brazil,"1,363,767"
Australia,"1,334,688"
Spain,"1,247,464"
Indonesia,"1,088,768"
Mexico,"1,040,372"
Netherlands,"886,339"
Switzerland,"707,868"
Saudi Arabia,"680,897"
Turkey,"649,436"
Taiwan[n 5],"635,547"
Iran,"610,662"
Poland,"580,894"
Sweden,"529,054"
Thailand,"509,200"
Belgium,"503,416"
Nigeria,"442,976"
Austria,"432,894"
Ireland,"399,064"
Israel,"383,425"
Argentina,"382,760"
Philippines,"367,362"
Norway,"366,386"
Egypt,"361,875"
United Arab Emirates,"353,899"
Hong Kong ,"341,319"
Vietnam,"340,602"
Denmark,"339,626"
Singapore,"337,451"
Malaysia,"336,330"
Bangladesh,"317,768"
Pakistan (2019),"284,200"
South Africa,"282,588"
Finland,"267,856"
Colombia,"264,933"
Romania,"248,624"
Chile,"245,414"
Czech Republic,"241,975"
Portugal,"221,716"
Peru,"195,761"
Greece,"194,376"
New Zealand,"193,545"
Iraq,"178,112"
Kazakhstan,"165,730"
Hungary,"149,939"
Qatar,"147,791"
Algeria,"147,323"
Ukraine,"142,250"
Morocco,"112,220"
Kuwait,"108,656"
Slovakia,"101,892"
Kenya,"101,048"
Ethiopia,"95,588"
Puerto Rico (United States),"93,968"
Ecuador,"93,078"
Sri Lanka,"81,120"
Dominican Republic,"77,883"
Guatemala,"76,191"
Myanmar,"70,890"
Luxembourg,"68,613"
Bulgaria,"67,917"
Ghana,"67,337"
Tanzania,"64,123"
Angola,"62,724"
Oman,"62,305"
CÃ´te d'Ivoire,"61,502"
Panama,"60,286"
Uzbekistan,"59,771"
Costa Rica,"59,645"
Belarus,"57,708"
Croatia,"56,768"
Lithuania,"55,064"
Uruguay,"54,135"
Serbia,"51,999"
Slovenia,"51,802"
Venezuela,"48,610"
Turkmenistan,"47,986"
"Congo, Democratic Republic of the","46,062"
Jordan,"42,609"
Azerbaijan,"41,666"
Tunisia,"39,226"
Cameroon,"39,036"
Bolivia,"38,938"
Uganda,"37,733"
Paraguay,"35,606"
Bahrain,"34,624"
Latvia,"33,015"
Sudan,"32,576"
Nepal,"32,158"
Estonia,"30,468"
Cambodia,"26,316"
Macau (China)[n 7],"26,348"
El Salvador,"24,784"
Senegal,"24,409"
Honduras,"23,984"
Papua New Guinea,"23,283"
Cyprus,"23,246"
Trinidad and Tobago,"22,718"
Libya,"21,805"
Yemen,"20,948"
Iceland,"20,805"
Afghanistan,"19,006"
Zambia,"18,909"
Bosnia and Herzegovina,"18,893"
Lebanon,"18,734"
Laos,"18,653"
Mali,"17,685"
Georgia,"16,316"
Burkina Faso,"16,082"
Botswana,"15,872"
Benin,"15,292"
Gabon,"15,145"
Palestine[n 8],"14,750"
Mozambique,"14,557"
Malta,"14,290"
Guinea,"14,238"
Jamaica,"14,228"
Madagascar,"14,199"
Albania,"14,034"
Zimbabwe,"14,002"
Mongolia,"13,385"
Niger,"12,971"
Armenia,"12,813"
North Macedonia,"12,510"
Nicaragua,"11,905"
The Bahamas,"11,560"
Mauritius,"11,341"
Moldova,"11,241"
Brunei,"10,647"
Chad,"10,510"
Rwanda,"10,428"
Namibia,"10,252"
Equatorial Guinea,"10,028"
"Congo, Republic of the","9,964"
Haiti,"8,347"
Malawi,"8,330"
Tajikistan,"7,898"
Kosovo,"7,484"
Kyrgyzstan,"7,480"
Mauritania,"7,428"
Guyana,"6,806"
Togo,"5,719"
Montenegro,"4,943"
Somalia,"4,918"
Maldives,"4,712"
Barbados,"4,630"
South Sudan,"4,177"
Sierra Leone,"4,140"
Fiji,"3,932"
Eswatini,"3,848"
Djibouti,"3,408"
Burundi,"3,131"
Liberia,"3,068"
Bhutan,"2,587"
Suriname,"2,538"
Central African Republic,"2,321"
Aruba (Netherlands),"2,288"
Eritrea,"2,075"
Timor-Leste,"1,920"
Lesotho,"1,906"
Cabo Verde,"1,870"
The Gambia,"1,806"
Saint Lucia,"1,770"
Belize,"1,556"
Solomon Islands,"1,551"
San Marino,"1,410"
Guinea-Bissau,"1,392"
Antigua and Barbuda,"1,389"
Comoros,"1,200"
Seychelles,"1,198"
Grenada,"1,074"
Saint Kitts and Nevis,871
Vanuatu,864
Samoa,829
Saint Vincent and the Grenadines,777
Dominica,545
Tonga,503
SÃ£o TomÃ© and PrÃ­ncipe,417
"Micronesia, Federated States of",395
Palau,251
Marshall Islands,225
Kiribati,194
Nauru,114
Tuvalu,45
