,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,total_vaccinations_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
24596,ISR,Asia,Israel,2020-01-26,,,,,,,,,,,,,,,,,,,,,,,113.0,0.013,,,,,,tests performed,,,0.0,8655541.0,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.903
24597,ISR,Asia,Israel,2020-01-27,,,,,,,,,,,,,,,,,,,,,,1.0,114.0,0.013,0.0,,,,,tests performed,,,2.78,8655541.0,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.903
24598,ISR,Asia,Israel,2020-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,2.78,8655541.0,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.903
24599,ISR,Asia,Israel,2020-01-29,,,,,,,,,,,,,,,,,,,,,,,117.0,0.014,,,,,,tests performed,,,2.78,8655541.0,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.903
24600,ISR,Asia,Israel,2020-01-30,,,,,,,,,,,,,,,,,,,,,,4.0,121.0,0.014,0.0,,,,,tests performed,,,2.78,8655541.0,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.903
24601,ISR,Asia,Israel,2020-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,2.78,8655541.0,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.903
24602,ISR,Asia,Israel,2020-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,2.78,8655541.0,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.903
24603,ISR,Asia,Israel,2020-02-02,,,,,,,,,,,,,,,,,,,,,,,128.0,0.015,,2.0,0.0,,,tests performed,,,13.89,8655541.0,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.903
24604,ISR,Asia,Israel,2020-02-03,,,,,,,,,,,,,,,,,,,,,,7.0,135.0,0.016,0.001,3.0,0.0,,,tests performed,,,13.89,8655541.0,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.903
24605,ISR,Asia,Israel,2020-02-04,,,,,,,,,,,,,,,,,,,,,,6.0,141.0,0.016,0.001,4.0,0.0,,,tests performed,,,13.89,8655541.0,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.903
